Year,Gila,Sex,Environment,Home_Range_100mcp,N100,Home_Range_95mcp,N95,Home_Range_95kde,N
2000,1,female,nonsubsidized,25.2,42,23,38,,
2000,2,male,nonsubsidized,28.7,125,24.5,112,,
2000,3,male,nonsubsidized,82.7,89,68.4,78,,
2000,4,male,nonsubsidized,55.6,80,40.5,73,,
2002,2,male,nonsubsidized,66.2,38,40,37,,
2002,4,male,nonsubsidized,73.1,76,55.5,73,,
2002,10,male,nonsubsidized,39.5,111,33.3,105,,
2002,11,male,nonsubsidized,39.3,92,31.9,88,,
2002,12,male,nonsubsidized,49.5,66,41.5,63,,
2002,13,female,nonsubsidized,26.3,101,23.7,96,,
2002,15,female,nonsubsidized,39.2,98,21.3,94,,
2002,17,female,nonsubsidized,47.6,106,29.1,101,,
2002,50,female,nonsubsidized,15.8,68,14.1,66,,
2002,51,female,nonsubsidized,18.5,57,12.4,57,,
2007,F104,female,subsidized,3.37,18,3.37,18,13.84,18
2007,F36,female,subsidized,5.05,20,5,19,16.51,20
2007,F66,female,subsidized,10.23,22,5.56,20,32.31,22
2007,M67,male,subsidized,13.71,16,8.55,15,NA,NA
2007,M112,male,subsidized,12.23,13,12.23,12,NA,13
2007,M14,male,subsidized,4.66,15,3.87,14,14.52,15
2007,M67,male,subsidized,13.71,16,8.55,15,35.47,14
2008,F104,female,subsidized,4.97,53,3.47,50,13.22,53
2008,F114,female,subsidized,11.96,52,9.38,49,20.55,52
2008,F135,female,subsidized,4.07,16,1.58,15,11.36,16
2008,F137,female,subsidized,5.98,15,5.75,14,20.51,15
2008,F36,female,subsidized,9.73,54,7.55,51,18.89,54
2008,F66,female,subsidized,11.29,50,9.95,47,39.3,50
2008,M119,male,subsidized,25.01,58,20.23,56,47.65,58
2009,F104,female,subsidized,7.45,64,6.15,62,19.11,64
2009,F114,female,subsidized,11.46,52,8.61,49,20.34,52
2009,F135,female,subsidized,6.21,62,5.05,58,14.43,62
2009,F137,female,subsidized,6.09,35,4.93,33,16.94,35
2009,F147,female,subsidized,17.9,62,14.04,60,39.67,62
2009,F36,female,subsidized,7.48,67,7.31,65,13.96,67
2009,F66,female,subsidized,12.8,71,12.12,70,25.9,71
2009,M112,female,subsidized,7.89,18,1.73,17,NA,18
2009,M119,male,subsidized,22.62,69,16.37,67,49.53,69
2009,M69,male,subsidized,1.91,20,1.91,20,NA,NA
2009,F146,male,subsidized,9.94,43,7.15,40,20.17,43
2010,F114,female,subsidized,9.65,44,8.3,41,21.06,44
2010,F137,female,subsidized,6.32,45,5.26,42,13.24,45
2010,F147,female,subsidized,16.65,36,15.22,34,34.73,36
2010,F200,female,subsidized,5.36,34,5.23,33,20.37,34
2010,F214,female,subsidized,7.38,27,3.01,25,14.97,27
2010,F36,female,subsidized,35.81,50,12.16,47,47.49,50
2010,F66,female,subsidized,28.96,52,16.22,49,47.77,52
2010,M112,male,subsidized,20.46,26,14.41,24,55.25,26
2010,M119,male,subsidized,17.46,31,9.7,29,33.88,31
2010,M69,male,subsidized,13.85,31,10.75,29,37.45,30
2010,F146,female,subsidized,4.37,9,1.41,8,33.84,9
2011,F114,female,subsidized,5.91,22,3.3,20,13.82,22
2011,F137,female,subsidized,4.8,33,4.28,31,12.12,33
2011,F147,female,subsidized,19.44,24,12.9,22,43.8,24
2011,F200,female,subsidized,8.35,28,7.66,27,23.96,28
2011,F214,female,subsidized,6.61,22,5.66,21,23.39,22
2011,F252,female,subsidized,3.09,17,1.6,16,8.55,17
2011,F36,female,subsidized,11.93,23,10.95,21,34.9,23
2011,M14,male,subsidized,4.48,13,3.84,12,20.36,12
2011,M215,male,subsidized,11.47,16,11.47,15,46.26,16
2011,M255,male,subsidized,5.85,16,5.59,15,30.1,16
2012,F114,female,subsidized,10.17,54,7.15,51,21.04,54
2012,F137,female,subsidized,2.06,13,1.36,12,7.87,13
2012,F147,female,subsidized,17.64,52,16.75,49,32.98,52
2012,F252,female,subsidized,5.19,53,3.63,50,10.09,53
2012,F36,female,subsidized,10.34,52,10.3,49,27.59,52
2012,M14,male,subsidized,4.42,13,3.77,12,24.02,13
2012,M215,male,subsidized,11.04,21,9.85,20,28.52,21
2012,M255,male,subsidized,8.21,13,5.39,12,32.03,13