Year,Gila,Sex,Environment,Home_Range_100mcp,N100,Home_Range_95mcp,N95
2000,1,female,nonsubsidized,25.2,42,23,38
_,2,male,nonsubsidized,28.7,125,24.5,112
_,3,male,nonsubsidized,82.7,89,68.4,78
_,4,male,nonsubsidized,55.6,80,40.5,73
2001,1,female,nonsubsidized,20.1,26,NA,NA
_,2,male,nonsubsidized,23.5,10,NA,NA
_,3,male,nonsubsidized,60.1,18,NA,NA
_,4,male,nonsubsidized,24.4,21,NA,NA
_,10,male,nonsubsidized,28.5,14,NA,NA
_,11,male,nonsubsidized,10.6,22,NA,NA
_,12,male,nonsubsidized,23.6,7,NA,NA
_,13,female,nonsubsidized,8.9,9,NA,NA
_,15,female,nonsubsidized,13,11,NA,NA
_,50,female,nonsubsidized,21,11,NA,NA
_,51,female,nonsubsidized,7.1,8,NA,NA
2002,2,male,nonsubsidized,66.2,38,40,37
_,4,male,nonsubsidized,73.1,76,55.5,73
_,10,male,nonsubsidized,39.5,111,33.3,105
_,11,male,nonsubsidized,39.3,92,31.9,88
_,12,male,nonsubsidized,49.5,66,41.5,63
_,13,female,nonsubsidized,26.3,101,23.7,96
_,15,female,nonsubsidized,39.2,98,21.3,94
_,17,female,nonsubsidized,47.6,106,29.1,101
_,50,female,nonsubsidized,15.8,68,14.1,66
_,51,female,nonsubsidized,18.5,57,12.4,57
2007,F104,female,subsidized,3.37,18,3.37,19
_,F114,female,subsidized,2.51,8,0.58,7
_,F36,female,subsidized,5.05,20,3.49,19
_,F66,female,subsidized,10.23,22,5.56,20
_,M112,male,subsidized,12.51,13,12.51,12
_,M14,male,subsidized,4.66,15,3.87,14
2008,F104,female,subsidized,4.97,53,3.47,50
_,F114,female,subsidized,11.96,52,9.38,49
_,F135,female,subsidized,4.07,16,1.58,15
_,F137,female,subsidized,5.98,15,5.75,14
_,F36,female,subsidized,9.73,54,7.55,51
_,F66,female,subsidized,11.29,51,9.95,48
_,M119,male,subsidized,25.01,58,20.23,55
2009,F104,female,subsidized,7.45,64,7.25,62
_,F114,female,subsidized,11.46,52,8.28,49
_,F135,female,subsidized,6.21,62,5.47,58
_,F137,female,subsidized,6.09,35,5.68,33
_,F147,female,subsidized,17.9,50,14.04,48
_,F36,female,subsidized,7.48,62,5.83,60
_,F66,female,subsidized,12.2,67,11.01,66
_,M112,female,subsidized,7.89,71,1.73,70
_,M119,male,subsidized,22.62,18,16.37,16
_,M69,male,subsidized,1.91,69,1.91,69
_,F146,male,subsidized,10.01,20,8.49,17
2010,F114,female,subsidized,9.65,44,8.3,41
_,F137,female,subsidized,6.32,45,5.26,42
_,F147,female,subsidized,16.65,36,14.75,34
_,F200,female,subsidized,5.36,34,5.23,33
_,F214,female,subsidized,7.38,27,3.01,25
_,F36,female,subsidized,38.81,50,12.16,47
_,F66,female,subsidized,28.96,52,16.22,49
_,M112,male,subsidized,20.46,26,14.41,24
_,M119,male,subsidized,17.46,31,9.7,29
_,M69,male,subsidized,13.85,30,10.75,28
2011,F114,female,subsidized,5.91,22,3.3,20
_,F137,female,subsidized,4.8,33,4.28,31
_,F147,female,subsidized,19.44,24,12.9,22
_,F200,female,subsidized,8.35,28,7.66,27
_,F214,female,subsidized,6.61,22,5.66,21
_,F252,female,subsidized,3.09,17,1.6,16
_,F36,female,subsidized,11.93,23,10.95,21
_,F66,female,subsidized,5.72,5,0.66,4
_,M14,male,subsidized,4.48,13,3.84,12
_,M215,male,subsidized,11.47,16,11.47,15
_,M255,male,subsidized,5.85,16,5.59,15
2012,F114,female,subsidized,10.17,54,7.15,51
_,F137,female,subsidized,2.06,13,1.36,12
_,F147,female,subsidized,17.64,52,16.75,49
_,F252,female,subsidized,5.19,53,3.63,50
_,F36,female,subsidized,10.34,52,10.3,49
_,M14,male,subsidized,4.42,13,3.77,12
_,M215,male,subsidized,11.04,21,9.85,20
_,M255,male,subsidized,8.21,13,5.39,12
2013,F114,female,subsidized,1.16,7,0.28,6
_,F147,female,subsidized,0.31,6,0,5
_,F252,female,subsidized,NA,4,NA,NA
_,F36,female,subsidized,0.13,6,0,5