ID,F36,F66,F104,F135,F137,F146,F147,,M14,M67,M69,M112,M119,M215,M255
Female:Female,,,,,,,,Male:Female,,,,,,,
F36,_,5.13,_,_,_,4.65,_,,_,_,_,_,19.44,18.51,_
F66,5.13,_,_,_,_,5.05,_,,_,_,2.6,_,_,_,_
F104,_,_,_,0.5,,_,_,,_,_,_,_,_,_,_
F114,_,_,_,_,_,_,_,,_,_,_,5.82,_,_,_
F135,_,_,0.5,_,2.89,_,3.94,,_,_,2.04,_,_,_,_
F137,_,_,_,2.89,_,_,7.91,,_,_,0.55,_,_,_,_
F146,4.65,5.05,_,_,_,_,_,,0.14,_,0.76,_,_,_,_
F147,_,_,_,3.94,7.91,_,_,,3.73,0.21,4.6,_,_,_,_
F200,_,_,_,_,_,_,_,,_,_,_,6.49,_,_,_
F252,_,_,_,_,_,_,_,,_,_,_,_,_,_,3.45
,,,,,,,,,,,,,,,
Mean =,4.3 ± 0.86,,,,,,,Mean =,5.26 ± 1.78,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ID,F36,F66,F104,F135,F137,F146,F147,,M14,M67,M69,M112,M119,M215,M255
Female:Female,,,,,,,,Male:Female,,,,,,,
Net,6.84,7.25,0.5,4.44,7.91,6.77,8.96,,3.87,0.21,8.57,12.31,21.24,20.32,3.45
Prportion,0.2,0.2,0.1,0.5,1,0.7,0.3,,0.4,0.02,0.5,0.4,0.6,1,0.2