,Emergence,,,Dry,,Monsoon,,Post Monsoon,
Lizard,Sex,Area (ha),N,Area,N,Area,N,Area,N
M69,Male,0.33,4.00,36.73,24.00,14.84,22.00,0.07,8.00
M67,Male,NA,NA,5.71,9.00,7.72,7.00,NA,NA
M255,Male,3.23,7.00,NA,NA,1.07,9.00,NA,NA
M215,Male,2.64,7.00,8.28,11.00,7.22,12.00,NA,NA
M14,Male,NA,NA,6.20,15.00,7.50,10.00,NA,NA
M119,Male,NA,NA,27.84,17.00,19.98,67.00,1.55,9.00
M112,Male,NA,NA,24.93,16.00,14.14,29.00,0.28,8.00
F66,Female,0.33,5.00,9.60,97.00,33.65,79.00,1.36,16.00
F36,Female,2.94,12.00,24.99,99.00,10.30,118.00,19.14,27.00
F252,Female,1.27,8.00,2.54,14.00,6.48,30.00,0.39,9.00
F214,Female,NA,NA,5.04,10.00,7.79,28.00,1.87,9.00
F200,Female,NA,NA,4.71,8.00,4.23,40.00,2.05,12.00
F147,Female,5.44,14.00,25.52,57.00,18.21,70.00,7.14,18.00
F146,Female,NA,NA,9.55,22.00,5.97,17.00,0.03,7.00
F137,Female,1.71,6.00,6.54,43.00,6.95,62.00,2.19,17.00
F135,Female,NA,N,3.71,25.00,5.72,48.00,0.68,5.00
F114,Female,0.99,12.00,13.66,99.00,10.72,84.00,4.56,24.00
F104,Female,NA,NA,6.07,70.00,7.59,49.00,0.53,13.00
,,,,,,,,,
Means,Overall,1.89,,13.04,,10.56,,2.99,
,Male,2.07,,18.28,,10.35,,0.63,
,Female,2.11,,10.18,,10.69,,3.63,